today_game_id,team_code,injury_score,lineup_score,tactics_score,motivation_score,weather_score,qual_total_score
20250802-K2-JEONNAM-ASAN,JEONNAM,3,3,2,3,1,12
20250802-K2-JEONNAM-ASAN,ASAN,3,2,1,2,1,9
20250802-K2-HWASEONG-GIMPO,HWASEONG,3,3,3,3,1,13
20250802-K2-HWASEONG-GIMPO,GIMPO,3,3,3,3,1,13
20250802-K2-ANSAN-CHEONGJU,ANSAN,3,3,2,3,1,12
20250802-K2-ANSAN-CHEONGJU,CHEONGJU,3,3,2,3,1,12
