today_game_id,team_code,injury_score,lineup_score,tactics_score,motivation_score,weather_score,qual_total_score
2025080201,TOY,1,1,2,3,2,9
2025080201,OMI,1,2,2,3,2,10
2025080202,NAG,3,3,3,3,2,14
2025080202,SEN,3,3,2,3,2,13
2025080203,KOF,2,2,2,3,2,11
2025080203,YAM,3,1,2,3,1,10
2025080204,FUJ,3,1,2,2,2,10
2025080204,YMG,3,1,1,3,2,10
