today_game_id,team_code,injury_score,lineup_score,tactics_score,motivation_score,weather_score,qual_total_score
20250802-J2-OIT-IMA,OIT,3,2,1,3,2,11
20250802-J2-OIT-IMA,IMA,3,2,2,2,1,10
20250802-K1-ULS-SUF,ULS,3,2,1,3,2,11
20250802-K1-ULS-SUF,SUF,3,3,2,3,1,12
20250802-K2-BUC-SGN,BUC,3,3,3,3,2,14
20250802-K2-BUC-SGN,SGN,3,2,2,2,2,11
20250802-K2-SEL-INC,SEL,3,3,3,3,2,14
20250802-K2-SEL-INC,INC,3,3,3,2,2,13
